topic,relatedness,text,date,group,likes,reposts,views
карельский язык,0.2971,#karjalankielennedäli #karjalankielennetäli 📜,2022-04-14 11:33:02,,2,0,161
карельский язык,0.2971,#karjalankielennedäli #karjalankielennetäli 📜,2022-04-13 12:35:00,,3,0,167
карельский язык,0.2971,#karjalankielennedäli #karjalankielennetäli 📜,2022-04-16 13:37:19,,2,0,175
карельский язык,0.2971,#karjalankielennedäli #karjalankielennetäli 📜,2022-04-12 12:44:58,,1,0,182
карельский язык,0.2968,...näin niin sanotut pienet kielet kuollah... ...так умирают т.н. малые языки... https://youtu.be/Ghz9LZD_Bu8,2019-10-27 17:53:32,,2,0,151
карельский язык,0.2968,"24.tuhukuudu Karjalan Kielen Kois piemmö ""Paginkanzu""-kluuban istunnon. Teemannu on Hauginiemen kylä da sen eläjät. Terveh tulgua 13.00 aiga",2016-02-17 21:42:31,,0,0,0
карельский язык,0.2968,...näin niin sanotut pienet kielet kuollah... ...так умирают т.н. малые языки... https://youtu.be/Ghz9LZD_Bu8,2019-10-27 17:53:32,,2,0,151
карельский язык,0.2968,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Вепсский язык. Урок 9 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-20 21:09:41,,5,1,581
карельский язык,0.2968,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Вепсский язык. Урок 8 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-10 17:13:00,,1,1,583
карельский язык,0.2967,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Собственно-карельское наречие. Урок 9 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-15 18:16:00,,5,5,777
